Farm,Month,Year,Sex,clas1_4,LCT,KFI,Ecervi,Tb
BA,1,0,2,1,125,,0,0
BA,12,1,1,1,132,21.155,0,
BA,12,1,2,3,161,,,0
BA,12,1,2,4,158,,,
BA,12,1,2,4,154,33.19,14.9,0
BA,12,1,2,2,138,18.72,1.99,1
BA,12,1,2,4,164.3,2.51,1.85,
BA,12,1,,,,43.805,,
BA,12,1,2,4,159,53.49,15.58,0
BA,12,1,2,3,164,17.705,4.21,0
BA,12,1,2,3,153.5,53.085,19,0
BA,12,1,2,4,153,,,
BA,12,1,2,4,162,,,
BA,12,1,2,2,156,21.35,0,0
BA,12,1,2,4,164,,,
BA,12,1,2,4,169,,,
BA,12,1,2,2,150,14.965,0,0
BA,12,1,2,2,140,,1.21,0
BA,12,1,2,4,168,59.52,2.47,0
BA,12,1,2,3,163,,,
BA,12,1,2,4,165.2,,0,0
BA,12,1,2,4,147,,,
BA,12,1,2,2,148,34.69,,0
BA,12,1,2,1,129,,58,
BA,12,1,2,4,163,,,
BA,12,1,1,1,131,23.505,,
BA,12,1,2,4,165,33.69,,0
BA,12,1,2,3,168.5,14.76,7.91,0
BA,12,1,,,,,1,
BA,12,1,,,,,0,
BA,11,2,2,4,161,20.265,6,0
BA,11,2,2,2,137,11.27,477.36,0
BA,11,0,1,4,183,16,6.2,0
BA,11,0,1,3,173,10.55,126.1,0
BA,11,0,1,4,177,15,140,0
BA,11,0,1,4,175,9.35,475.7,0
BA,11,0,1,3,169,13.37,29.2,0
BA,11,0,1,4,178,9.7,168.7,0
BA,11,0,1,4,180,5.8,147.8,1
BA,11,0,1,4,187,7.3,51.9,0
BA,11,0,1,4,187,6.25,252.8,0
BA,11,0,1,4,176,11.85,266.9,0
BA,11,0,1,4,185,20.865,199.6,0
BA,11,0,1,3,159,10.285,40.1,0
BA,11,0,1,4,202,,84.9,
BA,11,0,1,4,159,51.305,15.9,0
BA,11,0,1,4,182,,285.3,0
BA,11,0,1,4,178,18.47,114.4,0
BA,11,0,1,4,181,13.805,112.24,0
BA,11,0,1,4,186,9.765,89.5,0
BA,11,0,1,4,187,7.8,205.8,0
BA,11,0,1,4,170,8.55,1357.8,0
BE,10,2,1,4,175,,519.6,
BE,10,2,1,3,140,,,
BE,10,2,1,4,158,,23.7,
BE,10,2,1,4,160,,56.9,
BE,10,2,1,4,,,,
BE,10,2,,4,,,,
BE,10,2,1,4,144,,,
BE,10,2,1,3,166.6,,39.75,
BE,10,2,1,4,160,,,
BE,10,2,1,3,180,,41.51,
BE,10,2,2,1,122,11.645,14.08,0
BE,10,2,1,3,,10.05,64.87,0
BE,10,2,1,3,145,,30.1,
BE,10,2,1,4,154,,117.14,
BE,10,3,1,4,170.5,23.27,1.15,0
BE,10,3,1,3,156,12.23,19.62,0
BE,10,3,1,4,165,25.31,17.99,0
BE,10,3,1,3,158,18.035,23.54,0
BE,10,3,1,3,162,26.035,7.41,0
CB,1,3,2,4,162,34.35,3.33,0
CB,1,3,2,2,153,24.555,3.25,0
CB,1,3,1,2,156.5,19.055,0,0
CB,1,3,2,4,162,36.895,2.4,
CB,1,3,2,2,136,20.58,0,0
CB,1,3,2,2,138.2,109.51,4.7,0
CB,1,3,2,4,159,31.94,1.9,
CB,1,3,2,1,126,5.2,0,0
CB,2,3,1,3,177,9.1,12.52,0
CB,2,3,2,1,139,6.05,0,0
CB,1,3,2,3,156.5,22.075,35.77,0
CB,1,3,1,4,169.8,13.825,16.22,0
CB,1,3,1,3,189,5.6,27.09,0
CB,1,3,1,3,169.5,8.705,178.42,0
CB,1,3,2,4,168,20.54,34.73,0
CB,1,3,2,2,152.8,43.385,15.04,0
CB,1,3,1,3,183,16.615,25.24,0
CB,3,3,2,4,146,16.42,126.61,0
CB,3,3,2,4,160,20.14,0,1
CB,3,3,2,4,155,48.21,0,0
CB,1,3,1,2,160,46.86,17.6,0
CB,2,3,2,1,116,8,0,0
CB,2,3,2,1,131.5,11.76,0,0
CB,2,3,2,2,154,19.585,47.01,0
CB,2,3,1,3,170,10.34,0,0
CB,2,3,1,3,165,9.205,0,0
CB,2,3,2,1,142,22.12,0,0
CB,2,3,2,1,131,6.14,0,0
CB,2,3,2,1,133.5,7.48,0,0
CB,3,3,2,1,139,7.545,0,0
CB,3,3,2,1,135.5,14.475,0,0
CB,10,3,2,4,156,11.095,,0
CB,8,3,1,4,179,93.92,0,0
CB,1,0,2,1,127.9,7.065,0,0
CB,3,3,2,3,169,,12.07,0
CB,3,3,1,4,187,,20.4,0
LN,1,1,1,3,179,22.87,129.71,0
LN,1,1,1,4,181,25.855,163.34,0
LN,1,1,1,4,189,30,89.64,0
LN,1,1,1,4,175,17.28,71.19,0
LN,1,1,1,4,190,13.665,20.4,1
LN,1,1,1,4,181,9.47,207.68,0
LN,1,1,1,4,182,14.74,37.77,0
LN,1,1,1,3,166,10.27,23.3,0
LN,1,1,1,4,190,3.14,125.35,0
LN,1,1,1,4,163,9.98,0,0
LN,1,1,1,3,170,13.68,161.48,1
LN,1,1,1,3,178,28.475,2.3,0
LN,1,1,1,4,189,26.905,284.31,0
LN,1,1,1,4,184,15.47,831.14,1
LN,1,1,1,3,178,33.455,112.1,0
LN,1,1,1,4,181,8.445,210.1,1
LN,1,1,1,4,174,10.19,160.75,0
LN,1,1,1,4,176,13.475,97.29,0
LN,1,1,1,4,177,15.5,41.6,0
LN,1,1,1,3,160,27.92,4.66,0
MAN,3,2,2,3,,6.1,,1
MAN,4,2,1,4,199,84.58,0,0
MAN,4,2,1,4,171,45.46,2,0
MAN,10,2,1,4,170,22.86,0,1
MAN,10,2,1,3,169,72.815,,
MAN,10,2,1,3,174,35.18,0,1
MAN,10,2,1,4,187,65.805,0,0
MAN,10,2,1,4,128,32.61,1.6,0
MAN,10,2,1,,176,,,
MAN,10,2,1,3,161,,,
MAN,10,2,1,,175,60,,1
MAN,10,2,2,3,143,95.615,5.9,0
MAN,10,2,2,4,163,,,
MAN,10,2,2,4,151,,,
MAN,10,2,1,4,199,14.08,35.8,1
MAN,10,2,2,2,131,,,
MAN,10,2,2,1,119,,,
MAN,10,2,2,4,163,74.42,,0
MAN,10,2,1,1,135,101.755,,
MAN,10,2,,,,91.495,,0
MAN,10,2,2,3,152,,,
MAN,10,2,2,3,143,,,
MAN,10,2,2,,,,,
MAN,10,2,2,3,137,,,
MAN,10,2,2,4,163,29.87,0,1
MAN,10,2,2,2,137,141.645,,
MAN,10,2,1,4,186,35.225,,1
MAN,10,2,2,4,146,104.655,0,1
MAN,10,2,2,1,115,29.54,0,
MAN,10,2,2,3,147,64.19,,1
MAN,10,2,2,3,146,172.105,69.75,0
MAN,10,2,2,3,144,164.87,,1
MAN,10,2,2,4,157,,,
MAN,10,2,2,2,129,62.9,0,
MAN,10,2,2,2,143,,,
MAN,10,2,2,4,154,,,
MAN,10,2,2,3,151,68.275,8.81,0
MAN,10,2,1,3,173,28.81,17.33,0
MAN,10,2,,,162,149.51,,1
MAN,10,2,1,4,172,11.24,24.61,0
MAN,10,2,,,168,42.89,6.49,1
MAN,10,2,,,,38.93,,1
MAN,10,2,1,4,186,15.675,,
MAN,10,2,,,,15.375,53.66,1
MAN,10,2,1,4,188,15.19,66.37,1
MAN,10,2,1,4,181,76.775,2.5,
MAN,10,2,1,4,187,13.91,0,1
MAN,10,2,1,3,167,48.315,,
MAN,10,2,,,,36.23,,1
MAN,12,2,2,2,,,,0
MAN,12,2,2,4,,,,0
MAN,12,2,2,4,,,,0
MAN,12,2,2,4,,,,0
MAN,12,2,2,4,,,,0
MAN,12,2,2,2,,,,0
MAN,12,2,1,4,,,,
MB,1,3,2,4,168.5,,17.47,0
MB,1,3,2,2,154,41.945,7.19,0
MB,1,3,2,3,155.5,37.985,15.73,0
MB,1,3,2,4,168,103.205,13.72,0
MB,1,3,2,4,169,111.99,12.13,1
MB,1,3,2,3,153,30.695,10.76,0
MB,1,3,2,4,156.5,58.85,48,1
MB,1,3,2,2,148,47.225,35.21,1
MB,1,3,2,4,150,52.895,29.3,0
MB,1,3,2,3,157,16.465,6.09,1
MO,7,0,2,2,143,100.5,0,0
MO,9,0,1,4,172,,143,0
MO,9,2,1,4,202,139.465,0,1
MO,9,2,2,2,147,70.805,0,0
MO,9,2,1,4,199,77.565,17.51,0
MO,9,2,1,4,197,83.56,91.44,1
MO,9,2,2,2,162,25.125,0,0
MO,9,2,1,4,209,40.325,0,0
MO,10,2,1,4,174,36.655,16.12,0
MO,10,2,1,4,200,7.35,44.59,1
MO,10,0,1,4,197,63.45,6.1,0
MO,10,2,1,4,182,22.19,17.3,0
MO,11,2,2,3,171,29.88,0,0
MO,11,2,2,3,160,18.635,0,0
MO,11,2,2,4,152,21,3.36,0
MO,11,2,2,4,161,29.32,12.95,0
MO,11,2,2,2,152,32.68,350.1,0
MO,11,2,1,1,127,9.87,,0
MO,11,2,2,2,159.5,20.445,0,0
MO,11,2,2,2,148,16.26,13.6,0
MO,11,2,2,2,147,19.565,15.04,1
MO,10,0,1,3,174,18.6,0,0
MO,12,2,2,3,158.5,23.46,4.4,0
MO,12,2,1,1,139,29.4,0,0
MO,12,2,2,2,147,54,0,0
MO,12,2,1,1,138,16.1,0,0
MO,12,2,2,4,145,27.4,0,0
MO,12,2,1,1,132,13.75,0,0
MO,12,2,2,4,165,57,0,0
MO,12,2,2,4,159,60,10.47,0
MO,12,2,2,4,166,43.5,0,0
MO,12,2,1,4,182,26.3,5.82,1
MO,10,0,1,3,170,33.92,16.5,0
MO,12,2,2,4,167,17.2,14.42,0
MO,12,2,2,3,161,24.65,0,0
MO,12,2,2,3,158,26.65,0,0
MO,1,3,1,1,136,11.98,0,0
MO,1,3,2,3,170.5,56.495,3.98,0
MO,1,3,2,1,124,32.84,0,0
MO,1,3,1,1,142,13.4,1.14,0
MO,1,3,2,4,164,31.49,8.22,0
MO,1,3,2,3,153,22.565,0,0
MO,1,3,2,4,162,65.57,0,0
MO,10,0,2,3,148,11.15,0,0
MO,10,0,2,4,165,43,1,1
MO,10,0,2,2,156,43.35,0,0
MO,11,0,1,1,75,31.5,0,0
MO,12,0,1,3,197,11.05,42.4,0
MO,12,0,2,1,135,,0,0
MO,7,0,2,4,153,13.95,0,0
MO,12,0,2,4,165,28.8,38.8,0
MO,12,0,2,4,152,69.2,0,0
MO,12,0,2,2,163,61.4,16.5,0
MO,12,0,2,3,150,30.7,0,1
MO,12,0,2,4,150,37,43.3,0
MO,12,0,2,4,168,200,22.2,0
MO,12,0,2,4,164,76.45,0,0
MO,1,1,2,3,150,14.95,0,0
MO,1,1,1,3,145,10.9,0,0
MO,1,1,2,1,127,14.85,0,0
MO,7,0,2,1,85,15.1,0,0
MO,1,1,1,3,171,11.65,0,0
MO,1,1,1,3,168,16.35,14,0
MO,1,1,1,2,164,14.75,0,0
MO,1,1,2,4,173,27.15,0,0
MO,1,1,1,1,126,15.2,0,0
MO,1,1,2,4,159,34.9,8,1
MO,1,1,2,2,152,61,0,0
MO,1,1,1,1,152,10.05,0,0
MO,1,1,2,4,168,77.2,15.8,0
MO,2,1,1,3,167,14.6,0,1
MO,9,0,1,3,160,41.85,0,1
MO,2,1,2,2,173,37.75,0,0
MO,2,1,2,1,125,28.305,0,0
MO,2,1,2,3,170,37.05,0,0
MO,2,1,2,4,162,30.65,28.2,1
MO,5,1,2,4,174,59.5,0,0
MO,7,1,2,1,91.6,5,0,1
MO,9,1,1,3,174,111.2,1.19,0
MO,9,1,1,4,158,123,130.4,0
MO,9,1,1,4,162,88.255,15.92,0
MO,9,1,1,4,170,30.025,0,0
MO,9,0,1,4,197,47.15,0,1
MO,9,1,1,4,148,82.25,7.35,0
MO,9,1,2,4,131,7.1,8.63,0
MO,10,1,1,3,147,14.5,0,1
MO,10,1,1,4,188.5,12.345,28.19,0
MO,11,1,1,3,205,17.43,17.7,0
MO,12,1,2,2,152,92.37,0,1
MO,12,1,2,4,152,31.895,0,0
MO,12,1,2,2,138,15.025,0,0
MO,1,2,2,4,167,15.5,0,1
MO,1,2,1,1,142,18,0,0
MO,9,0,1,2,130,12.4,0,0
MO,1,2,2,2,167,66,,0
MO,2,2,2,4,151,94.5,0,0
MO,2,2,2,3,158,43,0,1
MO,2,2,2,3,148,20,0,1
MO,2,2,2,3,152,37.5,0,0
MO,2,2,1,1,136,29,0,0
MO,2,2,2,4,162,37,0,1
MO,2,2,2,1,135,11.5,0,0
MO,2,2,2,4,152,65,20,0
MO,2,2,2,2,149,72,0,0
MO,9,0,1,2,155,135.7,0,0
MO,2,2,2,3,151,52,0,0
MO,3,2,2,4,167,112.5,1.98,0
MO,3,2,2,3,163,78.5,0,0
MO,3,2,2,4,158,55.5,0,0
MO,3,2,2,2,153,79.5,16.24,0
MO,3,2,2,3,166.5,89,0,0
MO,3,2,2,4,171,108.5,4.024,0
MO,3,2,2,1,131,19.5,0,0
MO,3,2,2,4,168,48,7.49,1
MO,3,2,2,3,160.5,105,0.92,0
MO,9,0,1,4,188,65.95,0,1
MO,3,2,2,4,163,56.5,14.91,0
MO,3,2,1,1,155,22,0,0
MO,3,2,2,3,155,41.5,0,0
MO,3,2,2,4,168,112,0,0
MO,3,2,2,3,169,101.5,0,0
MO,3,2,2,1,132,25,0,0
MO,3,2,2,4,170,16.145,0,0
MO,3,2,2,3,170,37,0,0
MO,4,2,1,1,142.3,17.5,0,0
MO,7,2,2,2,143,49.845,0,0
MO,7,0,1,4,195,84.1,0,0
MO,7,2,2,4,158,83.39,0,0
MO,7,2,1,3,177,191.325,0,0
MO,7,2,2,4,178,46.94,10.92,0
MO,9,2,2,4,165,23.725,66.94,0
MO,9,2,2,1,121,18.49,0,0
MO,9,2,1,4,214,124.5,0,1
MO,9,2,1,4,202,75.115,4.52,0
MO,9,2,1,4,201,75.5,1.13,0
MO,9,2,1,4,182,65.455,,1
MO,2,3,1,3,149,9.575,0,0
MO,2,3,2,4,152,31.748,0,0
MO,2,3,1,3,163,10.89,0,1
MO,2,3,1,3,198,17.2,7.1,1
MO,2,3,2,4,159,18.265,3.59,0
MO,2,3,2,3,158,26.345,5.87,1
MO,2,3,2,1,150.5,27.56,0,0
MO,2,3,2,1,116,16.26,0,0
MO,2,3,2,2,155,36.87,0,0
MO,2,3,2,2,156.5,16.435,7.9,0
MO,2,3,2,4,181,34.565,4.48,0
MO,2,3,2,1,158.5,30.25,0,0
MO,2,3,2,3,162,50.03,0,0
MO,2,3,2,4,166,35.605,0,0
MO,2,3,1,2,126,26.035,0,0
MO,2,3,2,3,159,38.02,0,0
MO,2,3,2,3,165,81.29,14.17,0
MO,2,3,2,3,178,81.595,1.13,0
MO,2,3,2,3,158,34.895,,0
MO,5,3,2,4,165,21.405,,1
MO,6,3,1,3,158,80.5,24.52,0
MO,8,3,1,4,208,158.045,107.6,1
MO,8,3,1,4,182,116.665,0,0
MO,9,3,1,2,148,21.965,0,0
MO,9,3,1,2,152,32.64,0,0
MO,9,3,1,2,158,21.155,0,0
MO,9,3,2,4,173,37.5,0,1
MO,9,3,1,1,136,7.85,0,0
MO,9,3,1,3,158,134,,0
MO,9,3,2,2,157,25.1125,33.24,0
MO,9,3,1,3,191,19.37,0,0
MO,10,3,1,4,,,,
MO,10,3,1,3,183,19.77,0,0
MO,10,3,1,2,164,,0,0
MO,11,3,1,3,176,19.015,2.15,0
MO,11,3,1,3,187,21.715,0,0
MO,11,3,1,3,185,11.87,0,0
MO,11,3,2,3,152,33.85,0,0
MO,12,3,2,4,171,43.575,12.5,0
MO,12,3,2,4,159,50.335,72.54,0
MO,12,3,1,1,132,13.015,2.17,0
MO,12,3,2,1,141.5,13.3,0,0
MO,12,3,2,3,162,68.235,0,0
MO,12,3,2,3,157,22.485,0,0
MO,12,3,2,2,139,22.435,0,0
MO,12,3,2,3,165,56.2,0,0
MO,1,4,1,4,194,5.825,1.7,0
MO,1,4,2,2,167,55.285,67.83,0
MO,1,4,2,1,136,12.015,0,0
MO,1,4,1,4,196,22.485,1.09,0
MO,1,4,1,4,196,16.08,7.66,0
MO,1,4,1,4,198,6.98,7.28,0
MO,1,4,1,4,186,12.08,12.33,0
MO,1,4,1,4,197,14.945,37.23,1
MO,1,4,2,2,167,19.48,0,0
MO,1,4,2,3,158,55.665,0,0
MO,1,4,2,4,169,33.8,1.18,1
MO,1,4,1,3,170,19.545,0,0
MO,1,4,2,3,191,69.91,2.43,0
MO,1,4,2,4,157.2,53.94,30.78,0
MO,1,4,1,4,179,15.3,1.21,0
MO,1,4,2,4,159,28.685,9.47,0
MO,1,4,1,3,168,35.68,,0
MO,1,4,2,4,163,106.445,3.06,0
MO,1,4,1,1,144,19.01,0,0
MO,1,4,1,4,187,11.45,26.37,0
MO,2,4,2,3,168,63.81,0,0
MO,2,4,1,1,137,24.945,0,0
MO,2,4,1,3,171,23.555,0,0
MO,2,4,2,1,157,15.225,24.5,0
MO,2,4,2,4,171,55.76,0,0
MO,2,4,2,3,152,45.46,0,0
MO,2,4,2,1,132,20.915,,0
MO,2,4,2,3,158,105.29,23.16,0
MO,2,4,2,4,166,91.57,10.34,0
MO,2,4,2,3,158,60.975,0,0
MO,2,4,2,1,132,15.57,0,0
MO,2,4,1,3,174,19.44,0,0
MO,2,4,1,3,186,16.795,1.97,0
MO,2,4,1,3,187,48.675,21.89,0
MO,2,4,1,3,178,30.305,5.92,0
MO,2,4,1,3,184,32.41,0,0
NC,1,0,2,4,164,36,1.1634,
NC,1,0,2,2,,67,0,0
NC,1,0,2,2,143,50,19.944,0
NC,1,0,2,2,143,31,0,0
NC,1,0,2,3,153,64,0,0
NC,1,0,2,3,158,,2.22708,0
NC,1,0,2,3,159,63,0,0
NC,1,0,2,3,150,,0,
NC,1,0,2,4,166,37,3.324,0
NC,1,0,2,3,153,,0,0
NV,2,0,2,4,150.5,52,0,0
NV,2,0,2,4,153,24,6.48,0
NV,2,0,2,3,148,56,3.24,
NV,2,0,2,4,169,20,19.44,0
NV,2,0,2,2,147,40,0,0
NV,2,0,2,4,154,37,0,0
NV,2,0,2,3,148.7,76,32.4,0
NV,2,0,2,4,159,,6.48,0
NV,2,0,2,4,152,35,0,
NV,2,0,2,4,149,53,35.64,
NV,2,0,2,,,,,0
NV,2,0,2,3,151,39.4,0,
NV,2,0,2,,,,,0
NV,2,0,2,2,147,,0,
NV,2,0,2,4,138,47,6.48,1
NV,2,0,2,4,165,40.97,3.24,
NV,2,0,2,3,166,16.86,9.72,0
NV,2,0,2,1,132,12.445,0,
NV,2,0,2,4,158,29,0,
NV,2,0,2,4,164,43,68.04,0
NV,6,2,1,,176,125.47,,0
NV,6,2,1,4,179,90.95,,
NV,6,2,1,3,172,76.095,,0
NV,6,2,1,,172,62.235,,0
PN,11,0,1,4,166,12.75,13.55,0
PN,11,0,1,3,166,8.8,6.7,0
PN,11,0,1,3,172,14.15,32.8,0
PN,11,0,1,3,171,17.65,145,0
PN,11,0,1,3,166,,28.2,
PN,11,0,1,4,177,17.5,21.8,0
PN,11,0,1,4,178,,5.7,0
PN,11,0,1,4,176,9.8,8.5,0
PN,11,0,1,4,184,,32.9,
PN,11,0,1,3,183,19,44.7,0
PN,11,0,1,4,172,9.4,86.3,0
PN,11,0,1,4,173,16.95,190.43,0
PN,11,0,1,3,162,9.6,9.8,0
PN,11,0,1,4,179,8.8,39.5,
PN,11,0,1,3,169,9.35,25.8,0
PN,11,0,1,4,176,6.15,51.8,0
PN,11,0,1,4,184,5.4,23,0
PN,11,0,1,3,175,9.2,7.2,0
PN,11,0,1,4,175,7.95,40.5,0
PN,11,0,1,4,178,5.8,1,0
PN,1,2,2,1,130,21.185,0,0
PN,1,2,2,4,149.6,66.2,7.75,0
PN,1,2,2,3,160,15.035,15,0
PN,1,2,2,3,168,38.63,,0
PN,1,2,2,3,150,,,
PN,1,2,2,3,149,27.935,11.59,0
PN,1,2,2,4,163,16.285,12.56,0
PN,1,2,2,4,154,,,
PN,1,2,2,4,155,52.245,3.41,0
PN,1,2,2,4,148,48.565,14.94,0
PN,1,2,2,3,165,49.83,1.1,0
PN,1,2,2,1,126,23.64,0,0
PN,1,2,2,2,,56.435,22.5,0
PN,1,2,2,2,149.8,54.065,19.88,0
PN,1,2,2,2,146.7,44.265,0,0
PN,1,2,2,4,,38.4,46.15,0
PN,1,2,2,4,161,24.46,37.7,0
PN,1,2,2,4,164,,,
PN,1,2,2,4,152.8,31.7,75.04,0
PN,1,2,2,4,168.1,32.07,7.48,0
PN,1,2,2,4,165.5,95.715,7.04,0
PN,1,2,2,4,152,32.99,13.55,0
PN,2,3,2,4,173.5,34.82,3.53,0
PN,10,3,1,4,170,12.855,,0
PN,10,3,1,4,171,17.46,,0
QM,10,2,2,1,137,15.605,29.64,0
QM,10,2,2,3,157.5,120.55,94.2,0
QM,10,2,2,1,117,28.34,170.2,0
QM,10,2,1,1,115,28.225,,1
QM,10,2,2,1,143,20.095,678.13,0
QM,10,2,2,1,114,21.18,13.44,0
QM,10,2,1,3,160,24.52,67.8,1
QM,10,2,2,2,142.5,14.94,,0
QM,10,2,1,2,142.1,22.41,26.98,0
QM,10,2,2,1,115,23.6,0,0
QM,10,2,2,1,131,16.21,0,0
QM,10,2,2,2,129,23.295,169.88,0
QM,10,2,2,4,168,56.415,39.93,0
QM,11,2,1,4,175,27.9,60.39,0
QM,11,2,2,3,149.5,106.15,89.74,0
QM,11,2,1,2,148,25.85,24.38,0
QM,11,2,1,3,157,13.5,0,0
QM,11,2,1,3,152.5,44,53.61,0
QM,11,2,2,4,155,51.85,15.54,0
QM,11,2,1,3,161.5,65,209.11,1
QM,11,2,2,4,160.8,64.5,,0
QM,11,2,1,2,130,46.46666667,263,0
QM,10,2,1,1,120,16.95,5,0
QM,11,2,1,2,143,21.4,1055.7,0
QM,11,2,1,2,144.2,16.15,645.23,0
QM,11,2,2,1,106,20.2,0,0
QM,11,2,2,2,136,30,0,0
QM,11,2,1,2,148,22,192.34,0
QM,11,2,1,2,145,41.1,0,0
QM,11,2,2,4,149.7,28.45,17.78,0
QM,11,2,2,4,165,67.65,22.23,0
QM,11,2,1,3,154,18.45,,0
QM,11,2,2,4,161,57.15,12.31,1
QM,10,2,2,2,135,15.17,0,0
QM,11,2,2,1,,23.55,0,0
QM,11,2,1,4,175.5,27.36,0,0
QM,11,2,2,4,157,45.25,17.49,0
QM,11,2,2,4,160,23.55,0,1
QM,11,2,1,4,162,12.28,6.023,0
QM,11,2,2,4,158.6,12.54,1.7,0
QM,11,2,2,4,151,27.66,8.83,0
QM,11,2,1,4,157,24.7,5.8,0
QM,11,2,1,4,177,13.27,43.7,0
QM,11,2,1,4,173.5,7.68,33.33,0
QM,10,2,2,1,108,25.45,2.4,0
QM,11,2,2,4,144,50.11,0,0
QM,11,2,2,4,165,8.79,0,0
QM,11,2,,,,,3.7,
QM,11,2,2,4,152,27.6,108.42,0
QM,11,2,1,3,155.5,10.3,51.33,1
QM,10,2,1,1,120,81.82,6.35,0
QM,10,2,1,1,112,18.005,0,0
QM,10,2,1,3,184,21.19,,0
QM,10,2,1,4,168.5,11.9,179,1
RF,1,0,1,4,181,,29.916,0
RF,1,0,1,4,174,12,113.016,
RF,1,0,1,3,,16.7,1.1634,0
RF,1,0,1,4,180,25,13.296,0
RF,1,0,1,3,172,,160.7154,0
RF,1,0,1,3,155,10.95,255.948,0
RF,1,0,1,4,177,29,141.7686,0
RF,1,0,1,3,155,45,12.1326,0
RF,1,0,1,3,170,,8.8086,
RF,1,0,1,3,,,96.396,
RF,1,2,1,4,160,11.885,98.07,0
RF,1,2,1,4,170,,,
RF,1,2,2,3,150,8.9,91.7,0
RF,1,2,,3,,12.24,71,0
RF,1,2,1,4,,9.575,50.87,0
RF,1,2,1,4,,11.595,2.21,0
RF,1,2,1,4,173,,,
RF,1,2,2,4,163,14.785,6.7,0
RF,1,2,2,1,118,,0,
RF,1,2,2,1,114,,0,
RF,1,2,2,4,162.4,24.385,13.51,1
RF,1,2,2,4,163,29.41,4.79,0
RF,1,2,2,3,,,,
RF,11,2,1,4,177,13.595,1442,0
RF,11,2,2,4,158.4,15.535,,0
RF,11,2,1,4,168.5,14.265,109.2,0
RF,11,2,2,4,141,25.175,32.9,0
RF,11,2,2,4,158,21.91,,0
RF,11,2,2,4,150,71.01,,0
RF,11,2,1,4,160,18.165,2.33,0
RF,11,2,2,4,164,29.72,,0
RF,11,2,1,4,177.4,,,
RF,11,2,2,4,157,15.5,5.93,0
RF,11,2,,,,,543.08,
RN,12,0,1,3,169,5.5,0,
RN,12,0,1,3,173,13.3,0.8,
RN,12,0,1,3,169,12.045,1.2,0
RN,12,0,1,4,172,10.75,0,0
RN,12,0,1,3,174,,0,
RN,12,0,1,3,166,9.05,0,0
RN,12,0,1,2,191,12.15,0,0
RN,12,0,1,3,189,11.05,11.9,0
RN,12,0,1,3,185,9.4,,0
