Date,SWE,PREC_ACCUM,TMax_F,TMin_F,TAge_F,PREC_INCR
1978-12-01,3.3,4.4,,,,1.10
1978-12-02,4.4,5.5,,,,0.10
1978-12-03,4.5,5.6,,,,0.20
1978-12-04,4.7,5.8,,,,0.10
1978-12-05,4.9,5.9,,,,0.00
1978-12-06,4.9,5.9,,,,0.00
1978-12-07,4.9,5.9,,,,0.00
1978-12-08,4.9,5.9,,,,0.00
1978-12-09,4.9,5.9,,,,0.00
1978-12-10,4.9,5.9,,,,0.00
1978-12-11,4.9,5.9,,,,0.00
1978-12-12,4.9,5.9,,,,0.00
1978-12-13,4.9,5.9,,,,0.00
1978-12-14,4.9,5.9,,,,0.00
1978-12-15,4.9,5.9,,,,0.00
1978-12-16,4.9,5.9,,,,0.00
1978-12-17,4.9,5.9,,,,0.20
1978-12-18,5.1,6.1,,,,0.90
1978-12-19,6.1,7.0,,,,0.20
1978-12-20,6.4,7.2,,,,0.00
1978-12-21,6.4,7.2,,,,0.00
1978-12-22,6.4,7.2,,,,0.00
1978-12-23,6.4,7.2,,,,0.10
1978-12-24,6.6,7.3,,,,0.00
1978-12-25,6.6,7.3,,,,0.10
1978-12-26,6.7,7.4,,,,0.00
1978-12-27,6.7,7.4,,,,0.00
1978-12-28,6.7,7.4,,,,0.00
1978-12-29,6.7,7.4,,,,0.00
1978-12-30,6.7,7.4,,,,0.00
1978-12-31,6.7,7.4,,,,0.10
1979-01-01,6.8,7.5,,,,0.10
1979-01-02,6.9,7.6,,,,0.00
1979-01-03,6.9,7.6,,,,0.00
1979-01-04,6.9,7.6,,,,0.00
1979-01-05,6.9,7.6,,,,0.00
1979-01-06,6.9,7.6,,,,0.00
1979-01-07,6.9,7.6,,,,1.10
1979-01-08,8.0,8.7,,,,0.00
1979-01-09,8.0,8.7,,,,0.00
1979-01-10,8.0,8.7,,,,0.30
1979-01-11,8.4,9.0,,,,1.30
1979-01-12,9.7,10.3,,,,0.10
1979-01-13,9.8,10.4,,,,0.10
1979-01-14,9.9,10.5,,,,0.10
1979-01-15,10.0,10.6,,,,0.10
1979-01-16,10.0,10.7,,,,0.00
1979-01-17,10.0,10.7,,,,0.00
1979-01-18,10.0,10.7,,,,0.00
1979-01-19,10.0,10.7,,,,1.00
1979-01-20,11.2,11.7,,,,0.00
1979-01-21,11.2,11.7,,,,0.30
1979-01-22,11.3,12.0,,,,0.20
1979-01-23,11.4,12.2,,,,0.00
1979-01-24,11.4,12.2,,,,0.00
1979-01-25,11.4,12.2,,,,0.00
1979-01-26,11.4,12.2,,,,0.00
1979-01-27,11.4,12.2,,,,0.00
1979-01-28,11.4,12.2,,,,0.00
1979-01-29,11.4,12.2,,,,0.30
1979-01-30,11.7,12.5,,,,0.00
1979-01-31,11.8,12.5,,,,0.00
1979-02-01,11.8,12.5,,,,0.00
1979-02-02,11.8,12.5,,,,0.00
1979-02-03,11.8,12.5,,,,0.00
1979-02-04,11.8,12.5,,,,0.00
1979-02-05,11.8,12.5,,,,0.00
1979-02-06,11.8,12.5,,,,0.00
1979-02-07,11.8,12.5,,,,0.00
1979-02-08,11.8,12.5,,,,0.00
1979-02-09,11.8,12.5,,,,0.00
1979-02-10,11.8,12.5,,,,0.00
1979-02-11,12.0,12.5,,,,0.00
1979-02-12,12.1,12.5,,,,0.00
1979-02-13,11.8,12.5,,,,0.80
1979-02-14,12.6,13.3,,,,0.40
1979-02-15,13.0,13.7,,,,0.00
1979-02-16,13.0,13.7,,,,0.20
1979-02-17,13.2,13.9,,,,0.00
1979-02-18,13.2,13.9,,,,0.00
1979-02-19,13.2,13.9,,,,0.10
1979-02-20,13.3,14.0,,,,1.40
1979-02-21,14.7,15.4,,,,0.20
1979-02-22,14.9,15.6,,,,0.00
1979-02-23,14.9,15.6,,,,0.20
1979-02-24,15.1,15.8,,,,0.00
1979-02-25,15.1,15.8,,,,0.00
1979-02-26,15.1,15.8,,,,0.10
1979-02-27,15.2,15.9,,,,0.60
1979-02-28,15.9,16.5,,,,0.00
1979-03-01,15.9,16.5,,,,0.00
1979-03-02,15.9,16.5,,,,0.00
1979-03-03,15.9,16.5,,,,0.00
1979-03-04,15.9,16.5,,,,0.00
1979-03-05,15.9,16.5,,,,0.00
1979-03-06,15.9,16.5,,,,0.00
1979-03-07,15.9,16.5,,,,0.00
1979-03-08,15.9,16.5,,,,0.30
1979-03-09,16.3,16.8,,,,0.00
1979-03-10,16.3,16.8,,,,0.00
1979-03-11,16.3,16.8,,,,0.00
1979-03-12,16.3,16.8,,,,0.00
1979-03-13,16.3,16.8,,,,0.00
1979-03-14,16.3,16.8,,,,0.00
1979-03-15,16.3,16.8,,,,0.00
1979-03-16,16.3,16.8,,,,0.50
1979-03-17,16.8,17.3,,,,0.00
1979-03-18,16.8,17.3,,,,0.00
1979-03-19,16.8,17.3,,,,0.40
1979-03-20,17.2,17.7,,,,0.00
1979-03-21,17.2,17.7,,,,0.20
1979-03-22,17.3,17.9,,,,0.30
1979-03-23,17.6,18.2,,,,0.10
1979-03-24,17.8,18.3,,,,0.20
1979-03-25,18.0,18.5,,,,0.20
1979-03-26,18.2,18.7,,,,0.00
1979-03-27,18.2,18.7,,,,0.00
1979-03-28,18.2,18.7,,,,0.00
1979-03-29,18.2,18.7,,,,0.00
1979-03-30,18.2,18.7,,,,0.10
1979-03-31,18.2,18.8,,,,0.00
1979-04-01,18.2,18.8,,,,0.50
1979-04-02,18.8,19.3,,,,1.00
1979-04-03,19.8,20.3,,,,0.00
1979-04-04,19.8,20.3,,,,0.30
1979-04-05,20.1,20.6,,,,0.00
1979-04-06,20.1,20.6,,,,0.00
1979-04-07,20.1,20.6,,,,0.00
1979-04-08,20.1,20.6,,,,0.00
1979-04-09,20.1,20.6,,,,0.00
1979-04-10,20.1,20.6,,,,0.00
1979-04-11,20.1,20.6,,,,0.50
1979-04-12,20.5,21.1,,,,0.00
1979-04-13,20.0,21.1,,,,0.00
1979-04-14,19.8,21.1,,,,0.00
1979-04-15,19.0,21.1,,,,0.00
1979-04-16,18.3,21.1,,,,0.00
1979-04-17,17.1,21.1,,,,0.00
1979-04-18,16.6,21.1,,,,0.00
1979-04-19,15.7,21.1,,,,0.00
1979-04-20,15.7,21.1,,,,0.00
1979-04-21,15.7,21.1,,,,0.00
1979-04-22,15.3,21.1,,,,1.00
1979-04-23,14.0,22.1,,,,0.00
1979-04-24,13.2,22.1,,,,0.00
1979-04-25,12.2,22.1,,,,0.00
1979-04-26,11.7,22.1,,,,0.00
1979-04-27,10.3,22.1,,,,0.00
1979-04-28,8.7,22.1,,,,0.00
1979-04-29,8.3,22.1,,,,0.00
1979-04-30,8.3,22.1,,,,0.00
1979-05-01,6.7,22.1,,,,0.00
1979-05-02,6.6,22.1,,,,0.00
1979-05-03,5.3,22.1,,,,0.00
1979-05-04,4.6,22.1,,,,0.00
1979-05-05,2.8,22.1,,,,0.00
1979-05-06,1.1,22.1,,,,0.40
1979-05-07,0.7,22.5,,,,0.30
1979-05-08,0.0,22.8,,,,0.00
1979-05-09,0.0,22.8,,,,0.00
1979-05-10,0.0,22.8,,,,0.00
1979-05-11,0.0,22.8,,,,0.00
1979-05-12,0.0,22.8,,,,0.00
1979-05-13,0.0,22.8,,,,0.00
1979-05-14,0.0,22.8,,,,0.00
1979-05-15,0.0,22.8,,,,0.00
1979-05-16,0.0,22.8,,,,0.00
1979-05-17,0.0,22.8,,,,0.00
1979-05-18,0.0,22.8,,,,0.00
1979-05-19,0.0,22.8,,,,0.00
1979-05-20,0.0,22.8,,,,0.00
1979-05-21,0.0,22.8,,,,0.00
1979-05-22,0.0,22.8,,,,0.00
1979-05-23,0.0,22.8,,,,0.00
1979-05-24,0.0,22.8,,,,0.00
1979-05-25,0.0,22.8,,,,0.00
1979-05-26,0.0,22.8,,,,0.00
1979-05-27,0.0,22.8,,,,0.00
1979-05-28,0.0,22.8,,,,0.00
1979-05-29,0.0,22.8,,,,0.00
1979-05-30,0.0,22.8,,,,0.00
1979-05-31,0.0,22.8,,,,0.00
1979-06-01,0.0,22.8,,,,0.00
1979-06-02,0.0,22.8,,,,0.00
1979-06-03,0.0,22.8,,,,0.00
1979-06-04,0.0,22.8,,,,0.00
1979-06-05,0.0,22.8,,,,0.00
1979-06-06,0.0,22.8,,,,0.00
1979-06-07,0.0,22.8,,,,0.00
1979-06-08,0.0,22.8,,,,0.00
1979-06-09,0.0,22.8,,,,0.00
1979-06-10,0.0,22.8,,,,0.00
1979-06-11,0.0,22.8,,,,0.00
1979-06-12,0.0,22.8,,,,0.00
1979-06-13,0.0,22.8,,,,0.00
1979-06-14,0.0,22.8,,,,0.00
1979-06-15,0.0,22.8,,,,0.00
1979-06-16,0.0,22.8,,,,0.00
1979-06-17,0.0,22.8,,,,0.00
1979-06-18,0.0,22.8,,,,0.00
1979-06-19,0.0,22.8,,,,0.20
1979-06-20,0.0,23.0,,,,0.00
1979-06-21,0.0,23.0,,,,0.00
1979-06-22,0.0,23.0,,,,0.00
1979-06-23,0.0,23.0,,,,0.00
1979-06-24,0.0,23.0,,,,0.00
1979-06-25,0.0,23.0,,,,0.00
1979-06-26,0.0,23.0,,,,0.00
1979-06-27,0.0,23.0,,,,0.00
1979-06-28,0.0,23.0,,,,0.00
1979-06-29,0.0,23.0,,,,0.00
1979-06-30,0.0,23.0,,,,0.00
1979-07-01,0.0,23.0,,,,0.00
1979-07-02,0.0,23.0,,,,0.00
1979-07-03,0.0,23.0,,,,0.40
1979-07-04,0.0,23.4,,,,0.00
1979-07-05,0.0,23.4,,,,0.00
1979-07-06,0.0,23.4,,,,0.00
1979-07-07,0.0,23.4,,,,0.00
1979-07-08,0.0,23.4,,,,0.00
1979-07-09,0.0,23.4,,,,0.00
1979-07-10,0.0,23.4,,,,0.00
1979-07-11,0.0,23.4,,,,0.00
1979-07-12,0.0,23.4,,,,0.00
1979-07-13,0.0,23.4,,,,0.00
1979-07-14,0.0,23.4,,,,0.40
1979-07-15,0.0,23.8,,,,0.00
1979-07-16,0.0,23.8,,,,0.00
1979-07-17,0.0,23.8,,,,0.00
1979-07-18,0.0,23.8,,,,0.00
1979-07-19,0.0,23.8,,,,0.00
1979-07-20,0.0,23.8,,,,0.00
1979-07-21,0.0,23.8,,,,0.00
1979-07-22,0.0,23.8,,,,0.20
1979-07-23,0.0,24.0,,,,0.10
1979-07-24,0.0,24.1,,,,0.00
1979-07-25,0.0,24.1,,,,0.00
1979-07-26,0.0,24.1,,,,0.00
1979-07-27,0.0,24.1,,,,0.00
1979-07-28,0.0,24.1,,,,0.00
1979-07-29,0.0,24.1,,,,0.00
1979-07-30,0.0,24.1,,,,0.00
1979-07-31,0.0,24.1,,,,0.00
1979-08-01,0.0,24.1,,,,0.00
1979-08-02,0.0,24.1,,,,0.00
1979-08-03,0.0,24.1,,,,0.00
1979-08-04,0.0,24.1,,,,0.00
1979-08-05,0.0,24.1,,,,0.00
1979-08-06,0.0,24.1,,,,0.00
1979-08-07,0.0,24.1,,,,0.00
1979-08-08,0.0,24.1,,,,0.00
1979-08-09,0.0,24.1,,,,0.00
1979-08-10,0.0,24.1,,,,0.00
1979-08-11,0.0,24.1,,,,0.00
1979-08-12,0.0,24.1,,,,0.00
1979-08-13,0.0,24.1,,,,0.20
1979-08-14,0.0,24.3,,,,0.00
1979-08-15,0.0,24.3,,,,0.20
1979-08-16,0.0,24.5,,,,0.00
1979-08-17,0.0,24.5,,,,0.00
1979-08-18,0.0,24.5,,,,0.00
1979-08-19,0.0,24.5,,,,0.10
1979-08-20,0.0,24.6,,,,0.00
1979-08-21,0.0,24.6,,,,0.00
1979-08-22,0.0,24.6,,,,0.00
1979-08-23,0.0,24.6,,,,0.00
1979-08-24,0.0,24.6,,,,0.00
1979-08-25,0.0,24.6,,,,0.00
1979-08-26,0.0,24.6,,,,0.00
1979-08-27,0.0,24.6,,,,0.00
1979-08-28,0.0,24.6,,,,0.00
1979-08-29,0.0,24.6,,,,0.00
1979-08-30,0.0,24.6,,,,0.00
1979-08-31,0.0,24.6,,,,0.00
1979-09-01,0.0,24.6,,,,0.00
1979-09-02,0.0,24.6,,,,0.00
1979-09-03,0.0,24.6,,,,0.00
1979-09-04,0.0,24.6,,,,0.00
1979-09-05,0.0,24.6,,,,0.00
1979-09-06,0.0,24.6,,,,0.00
1979-09-07,0.0,24.6,,,,0.00
1979-09-08,0.0,24.6,,,,0.00
1979-09-09,0.0,24.6,,,,0.00
1979-09-10,0.0,24.6,,,,0.00
1979-09-11,0.0,24.6,,,,0.00
1979-09-12,0.0,24.6,,,,0.00
1979-09-13,0.0,24.6,,,,0.00
1979-09-14,0.0,24.6,,,,0.00
1979-09-15,0.0,24.6,,,,0.00
1979-09-16,0.0,24.6,,,,0.00
1979-09-17,0.0,24.6,,,,0.00
1979-09-18,0.0,24.6,,,,0.00
1979-09-19,0.0,24.6,,,,0.00
1979-09-20,0.0,24.6,,,,0.00
1979-09-21,0.0,24.6,,,,0.00
1979-09-22,0.0,24.6,,,,0.00
1979-09-23,0.0,24.6,,,,0.00
1979-09-24,0.0,24.6,,,,0.00
1979-09-25,0.0,24.6,,,,0.40
1979-09-26,0.0,25.0,,,,0.00
1979-09-27,0.0,25.0,,,,0.00
1979-09-28,0.0,25.0,,,,0.00
1979-09-29,0.0,25.0,,,,0.00
1979-09-30,0.0,25.0,,,,0.00
1979-10-01,0.0,0.0,,,,0.00
1979-10-02,0.0,0.0,,,,0.00
1979-10-03,0.0,0.0,,,,0.00
1979-10-04,0.0,0.0,,,,0.00
1979-10-05,0.0,0.0,,,,0.00
1979-10-06,0.0,0.0,,,,0.00
1979-10-07,0.0,0.0,,,,0.00
1979-10-08,0.0,0.0,,,,0.00
1979-10-09,0.0,0.0,,,,0.00
1979-10-10,0.0,0.0,,,,0.00
1979-10-11,0.0,0.0,,,,0.00
1979-10-12,0.0,0.0,,,,0.00
1979-10-13,0.0,0.0,,,,0.00
1979-10-14,0.0,0.0,,,,0.00
1979-10-15,0.0,0.0,,,,0.00
1979-10-16,0.0,0.0,,,,0.20
1979-10-17,0.0,0.2,,,,0.10
1979-10-18,0.0,0.3,,,,0.10
1979-10-19,0.0,0.4,,,,1.70
1979-10-20,0.0,2.1,,,,1.20
1979-10-21,0.1,3.3,,,,0.00
1979-10-22,0.1,3.3,,,,0.10
1979-10-23,0.1,3.4,,,,0.00
1979-10-24,0.0,3.4,,,,0.00
1979-10-25,0.0,3.4,,,,0.00
1979-10-26,0.0,3.4,,,,0.00
1979-10-27,0.0,3.4,,,,0.00
1979-10-28,0.0,3.4,,,,0.00
1979-10-29,0.0,3.4,,,,0.10
1979-10-30,0.0,3.5,,,,0.10
1979-10-31,0.0,3.6,,,,0.00
1979-11-01,0.0,3.6,,,,0.10
1979-11-02,0.0,3.7,,,,0.00
1979-11-03,0.0,3.7,,,,0.00
1979-11-04,0.0,3.7,,,,0.00
1979-11-05,0.0,3.7,,,,0.00
1979-11-06,0.0,3.7,,,,0.00
1979-11-07,0.0,3.7,,,,0.00
1979-11-08,0.0,3.7,,,,0.00
1979-11-09,0.0,3.7,,,,0.10
1979-11-10,0.0,3.8,,,,0.00
1979-11-11,0.0,3.8,,,,0.10
1979-11-12,0.0,3.9,,,,0.00
1979-11-13,0.0,3.9,,,,0.00
1979-11-14,0.0,3.9,,,,0.00
1979-11-15,0.1,3.9,,,,0.00
1979-11-16,0.2,3.9,,,,0.00
1979-11-17,0.4,3.9,,,,1.00
1979-11-18,0.4,4.9,,,,0.00
1979-11-19,0.8,4.9,,,,0.10
1979-11-20,1.0,5.0,,,,0.10
1979-11-21,1.0,5.1,,,,0.20
1979-11-22,1.0,5.3,,,,0.00
1979-11-23,1.0,5.3,,,,0.20
1979-11-24,1.1,5.5,,,,0.80
1979-11-25,1.9,6.3,,,,0.40
1979-11-26,2.1,6.7,,,,0.00
1979-11-27,2.3,6.7,,,,0.10
1979-11-28,2.3,6.8,,,,0.00
1979-11-29,2.3,6.8,,,,0.00
1979-11-30,2.3,6.8,,,,0.00
1979-12-01,2.3,6.8,,,,0.00
1979-12-02,2.3,6.8,,,,0.00
1979-12-03,2.3,6.8,,,,0.00
1979-12-04,2.3,6.8,,,,0.00
1979-12-05,2.3,6.8,,,,0.00
1979-12-06,2.3,6.8,,,,0.00
1979-12-07,2.3,6.8,,,,0.00
1979-12-08,2.3,6.8,,,,0.00
1979-12-09,2.3,6.8,,,,0.00
1979-12-10,2.3,6.8,,,,0.00
1979-12-11,2.3,6.8,,,,0.00
1979-12-12,2.2,6.8,,,,0.00
1979-12-13,2.2,6.8,,,,0.00
1979-12-14,2.2,6.8,,,,0.00
1979-12-15,2.2,6.8,,,,0.00
1979-12-16,2.2,6.8,,,,0.00
1979-12-17,2.2,6.8,,,,0.00
1979-12-18,2.2,6.8,,,,0.00
1979-12-19,2.2,6.8,,,,0.00
1979-12-20,2.2,6.8,,,,0.00
1979-12-21,2.2,6.8,,,,0.10
1979-12-22,2.2,6.9,,,,0.20
1979-12-23,2.5,7.1,,,,0.00
1979-12-24,2.5,7.1,,,,0.00
1979-12-25,2.5,7.1,,,,0.00
1979-12-26,3.0,7.1,,,,0.10
1979-12-27,3.3,7.2,,,,0.10
1979-12-28,3.7,7.3,,,,0.00
1979-12-29,3.7,7.3,,,,0.00
1979-12-30,3.7,7.3,,,,0.00
1979-12-31,3.7,7.3,,,,0.00
1980-01-01,3.7,7.3,,,,0.00
1980-01-02,4.0,7.3,,,,0.00
1980-01-03,4.0,7.3,,,,0.00
1980-01-04,4.7,7.3,,,,0.00
1980-01-05,4.7,7.3,,,,0.00
1980-01-06,4.7,7.3,,,,0.00
1980-01-07,5.0,7.3,,,,0.00
1980-01-08,5.5,7.3,,,,1.00
1980-01-09,6.0,8.3,,,,0.30
1980-01-10,6.4,8.6,,,,0.40
1980-01-11,6.4,9.0,,,,1.10
1980-01-12,7.7,10.1,,,,0.00
1980-01-13,7.7,10.1,,,,0.60
1980-01-14,7.7,10.7,,,,0.00
1980-01-15,7.7,10.7,,,,0.10
1980-01-16,7.7,10.8,,,,0.10
1980-01-17,7.7,10.9,,,,0.90
1980-01-18,8.2,11.8,,,,0.00
1980-01-19,8.2,11.8,,,,0.00
1980-01-20,8.2,11.8,,,,0.00
1980-01-21,8.2,11.8,,,,0.00
1980-01-22,8.2,11.8,,,,0.00
1980-01-23,8.2,11.8,,,,0.00
1980-01-24,8.4,11.8,,,,0.00
1980-01-25,8.4,11.8,,,,0.00
1980-01-26,8.4,11.8,,,,0.00
1980-01-27,8.4,11.8,,,,0.70
1980-01-28,9.5,12.5,,,,0.30
1980-01-29,9.9,12.8,,,,1.10
1980-01-30,10.5,13.9,,,,0.00
1980-01-31,11.0,13.9,,,,0.00
1980-02-01,11.6,13.9,,,,0.00
1980-02-02,11.6,13.9,,,,0.00
1980-02-03,11.6,13.9,,,,0.00
1980-02-04,11.6,13.9,,,,0.00
1980-02-05,11.6,13.9,,,,0.00
1980-02-06,11.8,13.9,,,,0.00
1980-02-07,11.8,13.9,,,,0.10
1980-02-08,11.8,14.0,,,,0.00
1980-02-09,11.8,14.0,,,,0.00
1980-02-10,11.8,14.0,,,,0.40
1980-02-11,11.8,14.4,,,,0.00
1980-02-12,11.8,14.4,,,,0.00
1980-02-13,11.8,14.4,,,,0.00
1980-02-14,12.1,14.4,,,,0.00
1980-02-15,12.2,14.4,,,,0.90
1980-02-16,12.4,15.3,,,,0.00
1980-02-17,12.5,15.3,,,,0.30
1980-02-18,13.6,15.6,,,,0.30
1980-02-19,14.0,15.9,,,,1.10
1980-02-20,14.3,17.0,,,,0.30
1980-02-21,15.5,17.3,,,,1.30
1980-02-22,16.1,18.6,,,,0.20
1980-02-23,17.1,18.8,,,,0.00
1980-02-24,17.1,18.8,,,,0.00
1980-02-25,17.1,18.8,,,,0.00
1980-02-26,17.1,18.8,,,,0.00
1980-02-27,17.1,18.8,,,,0.00
1980-02-28,17.1,18.8,,,,0.70
1980-02-29,17.3,19.5,,,,0.00
1980-03-01,17.3,19.5,,,,0.00
1980-03-02,17.5,19.5,,,,1.10
1980-03-03,17.6,20.6,,,,0.20
1980-03-04,18.1,20.8,,,,0.30
1980-03-05,18.0,21.1,,,,1.20
1980-03-06,18.1,22.3,,,,0.00
1980-03-07,18.3,22.3,,,,0.00
1980-03-08,18.3,22.3,,,,0.00
1980-03-09,18.3,22.3,,,,0.00
1980-03-10,18.3,22.3,,,,0.00
1980-03-11,18.3,22.3,,,,0.30
1980-03-12,19.1,22.6,,,,0.00
1980-03-13,19.3,22.6,,,,0.00
1980-03-14,19.3,22.6,,,,0.00
1980-03-15,19.3,22.6,,,,0.20
1980-03-16,19.5,22.8,,,,0.20
1980-03-17,19.5,23.0,,,,1.00
1980-03-18,20.1,24.0,,,,0.00
1980-03-19,20.1,24.0,,,,0.00
1980-03-20,20.1,24.0,,,,0.10
1980-03-21,20.6,24.1,,,,0.00
1980-03-22,20.5,24.1,,,,0.00
1980-03-23,21.0,24.1,,,,0.00
1980-03-24,21.5,24.1,,,,0.20
1980-03-25,22.0,24.3,,,,0.20
1980-03-26,22.8,24.5,,,,0.00
1980-03-27,23.5,24.5,,,,0.10
1980-03-28,23.5,24.6,,,,0.00
1980-03-29,23.5,24.6,,,,0.00
1980-03-30,23.5,24.6,,,,1.40
1980-03-31,23.8,26.0,,,,0.10
1980-04-01,23.8,26.1,,,,0.00
1980-04-02,23.5,26.1,,,,0.00
1980-04-03,23.5,26.1,,,,0.00
1980-04-04,23.5,26.1,,,,0.00
1980-04-05,23.5,26.1,,,,0.00
1980-04-06,23.5,26.1,,,,0.00
1980-04-07,23.8,26.1,,,,0.20
1980-04-08,23.8,26.3,,,,0.00
1980-04-09,23.6,26.3,,,,0.00
1980-04-10,23.6,26.3,,,,0.00
1980-04-11,23.6,26.3,,,,0.00
1980-04-12,23.6,26.3,,,,0.00
1980-04-13,23.6,26.3,,,,0.00
1980-04-14,23.6,26.3,,,,0.00
1980-04-15,23.6,26.3,,,,0.00
1980-04-16,22.1,26.3,,,,0.00
1980-04-17,22.1,26.3,,,,0.00
1980-04-18,21.6,26.3,,,,0.00
1980-04-19,20.1,26.3,,,,0.00
1980-04-20,19.6,26.3,,,,0.00
1980-04-21,18.1,26.3,,,,0.00
1980-04-22,16.8,26.3,,,,0.00
1980-04-23,16.3,26.3,,,,0.00
1980-04-24,15.3,26.3,,,,0.00
1980-04-25,14.9,26.3,,,,0.00
1980-04-26,14.6,26.3,,,,0.00
1980-04-27,14.3,26.3,,,,0.00
1980-04-28,13.9,26.3,,,,0.00
1980-04-29,13.1,26.3,,,,1.50
1980-04-30,10.7,27.8,,,,0.00
1980-05-01,8.6,27.8,,,,0.00
1980-05-02,7.2,27.8,,,,0.00
1980-05-03,5.5,27.8,,,,0.00
1980-05-04,5.0,27.8,,,,0.00
1980-05-05,2.0,27.8,,,,0.00
1980-05-06,0.2,27.8,,,,0.00
1980-05-07,0.0,27.8,,,,0.00
1980-05-08,0.0,27.8,,,,0.00
1980-05-09,0.0,27.8,,,,0.30
1980-05-10,0.0,28.1,,,,0.00
1980-05-11,0.0,28.1,,,,0.10
1980-05-12,0.0,28.2,,,,0.00
1980-05-13,0.0,28.2,,,,0.00
1980-05-14,0.0,28.2,,,,0.00
1980-05-15,0.0,28.2,,,,0.00
1980-05-16,0.0,28.2,,,,1.30
1980-05-17,0.0,29.5,,,,0.00
1980-05-18,0.0,29.5,,,,0.00
1980-05-19,0.0,29.5,,,,0.00
1980-05-20,0.0,29.5,,,,0.00
1980-05-21,0.0,29.5,,,,0.00
1980-05-22,0.0,29.5,,,,0.00
1980-05-23,0.0,29.5,,,,0.00
1980-05-24,0.0,29.5,,,,0.00
1980-05-25,0.0,29.5,,,,0.00
1980-05-26,0.0,29.5,,,,0.00
1980-05-27,0.0,29.5,,,,0.00
1980-05-28,0.0,29.5,,,,0.00
1980-05-29,0.0,29.5,,,,0.00
1980-05-30,0.0,29.5,,,,0.10
1980-05-31,0.0,29.6,,,,0.00
1980-06-01,0.0,29.6,,,,0.00
1980-06-02,0.0,29.6,,,,0.00
1980-06-03,0.0,29.6,,,,0.00
1980-06-04,0.0,29.6,,,,0.00
1980-06-05,0.0,29.6,,,,0.00
1980-06-06,0.0,29.6,,,,0.00
1980-06-07,0.0,29.6,,,,0.00
1980-06-08,0.0,29.6,,,,0.00
1980-06-09,0.0,29.6,,,,0.00
1980-06-10,0.0,29.6,,,,0.00
1980-06-11,0.0,29.6,,,,0.00
1980-06-12,0.0,29.6,,,,3.40
1980-06-13,0.0,33.0,,,,0.00
1980-06-14,0.0,33.0,,,,0.00
1980-06-15,0.0,33.0,,,,0.00
1980-06-16,0.0,33.0,,,,0.00
1980-06-17,0.0,33.0,,,,0.00
1980-06-18,0.0,33.0,,,,0.00
1980-06-19,0.0,33.0,,,,0.00
1980-06-20,0.0,33.0,,,,0.00
1980-06-21,0.0,33.0,,,,0.00
1980-06-22,0.0,33.0,,,,0.00
1980-06-23,0.0,33.0,,,,0.00
